source,title_words,title_is_question,words,read_min,paras,para_median_words,para_p90_words,lead_words,h2,h3,heads,words_per_section,head_question_pct,head_median_words,code_blocks,tables,images,lists,list_items,quotes,links_per_1kw,nums_per_100w,nums_in_lead_150,nums_per_100w_body,wps_median,wps_p90,pct_sent_over_30,pct_sent_under_12,we_per_1kw,you_per_1kw,i_per_1kw,emdash_per_1kw,has_code,has_chart
anthropic,3,False,1571,6.8,40,38.5,68,46,6,5,11,131,0,3,2,0,12,6,25,0,8.9,1.65,1,1.76,18,35,13.0,13.0,18.5,11.5,0.0,1.3,True,True
anthropic,10,False,1117,4.9,19,57,110,44,7,3,10,102,0,6.0,0,0,1,0,0,0,31.3,1.16,0,1.34,24,41,22.2,6.7,18.8,0.9,0.0,5.4,False,True
anthropic,12,False,1090,4.7,18,54.0,114,24,5,3,8,121,0,6.0,0,0,4,0,0,0,16.5,3.85,12,3.19,23.5,32,20.8,16.7,24.8,5.5,0.9,11.0,False,True
anthropic,9,False,573,2.5,10,52.0,115,70,1,3,4,115,0,6.0,0,0,1,0,0,0,14.0,1.22,2,1.18,21.0,44,16.7,4.2,29.7,1.7,0.0,10.5,False,True
anthropic,7,False,1118,4.9,23,44,71,71,5,6,11,93,0,4,0,0,21,0,0,17,7.2,0.72,4,0.41,21,32,13.2,13.2,19.7,2.7,0.0,0.9,False,True
anthropic,3,False,544,2.4,10,47.5,119,47,1,3,4,109,0,6.0,0,0,1,0,0,0,20.2,0.55,2,0.25,26,30,8.7,4.3,44.1,12.9,0.0,5.5,False,True
anthropic,9,False,559,2.4,14,40.0,61,50,6,3,9,56,0,4,0,0,1,1,4,0,10.7,0.18,0,0.24,23,34,17.4,0.0,16.1,3.6,0.0,3.6,False,True
anthropic,2,False,352,1.5,6,63.0,80,65,1,3,4,70,0,6.0,0,0,1,0,0,0,31.2,0.57,1,0.5,24,60,36.4,0.0,39.8,5.7,0.0,14.2,False,True
anthropic,4,False,1097,4.8,19,52,98,41,4,3,7,137,0,5,0,0,24,1,2,13,20.1,6.29,9,6.34,22.0,42,22.7,9.1,18.2,1.8,0.0,1.8,False,True
anthropic,6,False,287,1.2,7,29,91,78,2,3,5,48,0,6,0,0,1,2,10,0,24.4,0.7,0,1.46,25,32,18.2,0.0,41.8,0.0,0.0,0.0,False,True
anthropic,4,False,339,1.5,2,169.5,310,310,1,3,4,68,0,6.0,0,0,2,0,0,0,23.6,0.29,1,0.0,29.0,52,40.0,0.0,23.6,0.0,2.9,2.9,False,True
anthropic,14,False,298,1.3,7,37,69,21,1,3,4,60,0,6.0,0,0,0,0,0,0,20.1,0.0,0,0.0,28,49,18.2,9.1,26.8,0.0,3.4,0.0,False,False
anthropic,14,False,301,1.3,8,38.0,61,61,3,3,6,43,0,6.5,0,0,1,1,3,0,23.3,0.33,1,0.0,28,39,27.3,9.1,26.6,0.0,0.0,0.0,False,True
anthropic,8,False,204,0.9,6,30.5,55,55,1,3,4,41,0,6.0,0,0,0,1,3,0,39.2,0.98,2,0.0,17,29,9.1,27.3,24.5,14.7,0.0,9.8,False,False
anthropic,7,False,2761,12.0,47,62,100,7,6,5,11,230,0,6,0,0,36,3,9,14,14.1,3.48,12,3.22,21.5,34,18.5,15.3,36.6,0.0,0.0,5.4,False,True
